mysql> SELECT season, week, ROUND(AVG(ABS(spread)), 2) AS average FROM pl_games WHERE week != 0 GROUP BY week, season ORDER BY average DESC;                                                 
+--------+------+---------+
| season | week | average |
+--------+------+---------+
|   2007 |   16 |    8.12 |
|   2007 |   15 |    8.00 |
|   2004 |   14 |    7.88 |
|   2009 |   16 |    7.88 |
|   2007 |   12 |    7.81 |
|   2009 |   11 |    7.19 |
|   2009 |    8 |    7.04 |
|   2011 |   14 |    7.00 |
|   2009 |   12 |    6.94 |
|   2009 |   15 |    6.94 |
|   2009 |    6 |    6.93 |
|   2009 |    7 |    6.73 |
|   2009 |    5 |    6.71 |
|   2013 |    6 |    6.70 |
|   2009 |    9 |    6.65 |
|   2006 |    2 |    6.62 |
|   2008 |   14 |    6.62 |
|   2006 |    6 |    6.58 |
|   2011 |    8 |    6.58 |
|   2008 |   17 |    6.56 |
|   2009 |    1 |    6.56 |
|   2007 |   14 |    6.50 |
|   2013 |    8 |    6.50 |
|   2006 |   10 |    6.44 |
|   2012 |   17 |    6.38 |
|   2009 |   10 |    6.30 |
|   2007 |    7 |    6.29 |
|   2006 |    5 |    6.29 |
|   2009 |    4 |    6.29 |
|   2006 |   17 |    6.25 |
|   2009 |   13 |    6.25 |
|   2003 |   15 |    6.25 |
|   2007 |   11 |    6.25 |
|   2007 |    2 |    6.25 |
|   2003 |   11 |    6.19 |
|   2011 |    6 |    6.12 |
|   2011 |   16 |    6.12 |
|   2009 |   14 |    6.12 |
|   2012 |   16 |    6.06 |
|   2003 |   17 |    6.03 |
|   2011 |   13 |    6.00 |
|   2009 |   17 |    6.00 |
|   2011 |   11 |    5.93 |
|   2010 |    4 |    5.93 |
|   2006 |    9 |    5.93 |
|   2003 |   16 |    5.91 |
|   2006 |   15 |    5.88 |
|   2010 |   13 |    5.88 |
|   2008 |    3 |    5.88 |
|   2008 |    8 |    5.86 |
|   2011 |    9 |    5.86 |
|   2010 |   16 |    5.81 |
|   2003 |   12 |    5.81 |
|   2008 |   15 |    5.81 |
|   2012 |   11 |    5.79 |
|   2007 |   17 |    5.75 |
|   2008 |   11 |    5.75 |
|   2007 |    8 |    5.73 |
|   2008 |    7 |    5.71 |
|   2011 |   15 |    5.69 |
|   2008 |    9 |    5.64 |
|   2004 |    7 |    5.64 |
|   2011 |    2 |    5.62 |
|   2009 |    3 |    5.62 |
|   2010 |   11 |    5.62 |
|   2007 |    4 |    5.57 |
|   2004 |    3 |    5.57 |
|   2010 |   17 |    5.56 |
|   2011 |   12 |    5.56 |
|   2004 |   12 |    5.50 |
|   2012 |   14 |    5.50 |
|   2012 |   13 |    5.50 |
|   2007 |    5 |    5.50 |
|   2004 |   17 |    5.50 |
|   2008 |    6 |    5.50 |
|   2004 |   13 |    5.44 |
|   2003 |   10 |    5.43 |
|   2008 |   10 |    5.43 |
|   2012 |   10 |    5.43 |
|   2006 |    4 |    5.36 |
|   2008 |    4 |    5.35 |
|   2004 |   15 |    5.31 |
|   2008 |   13 |    5.31 |
|   2013 |    3 |    5.31 |
|   2012 |    5 |    5.29 |
|   2010 |    7 |    5.29 |
|   2007 |    6 |    5.27 |
|   2011 |    3 |    5.25 |
|   2013 |    2 |    5.25 |
|   2003 |    2 |    5.22 |
|   2010 |    6 |    5.21 |
|   2008 |    5 |    5.21 |
|   2011 |    7 |    5.19 |
|   2010 |    9 |    5.19 |
|   2006 |    8 |    5.14 |
|   2011 |   17 |    5.12 |
|   2006 |   12 |    5.12 |
|   2012 |    4 |    5.10 |
|   2006 |    3 |    5.07 |
|   2012 |    1 |    5.06 |
|   2010 |    3 |    5.06 |
|   2007 |    3 |    5.06 |
|   2010 |    2 |    5.06 |
|   2006 |    7 |    5.04 |
|   2008 |    1 |    5.00 |
|   2013 |    7 |    4.97 |
|   2010 |   15 |    4.94 |
|   2006 |   13 |    4.94 |
|   2012 |    8 |    4.93 |
|   2011 |    4 |    4.88 |
|   2004 |   11 |    4.88 |
|   2004 |    5 |    4.86 |
|   2003 |    3 |    4.79 |
|   2010 |   14 |    4.75 |
|   2012 |    2 |    4.75 |
|   2012 |    7 |    4.73 |
|   2011 |   10 |    4.69 |
|   2007 |   13 |    4.69 |
|   2011 |    1 |    4.69 |
|   2013 |    1 |    4.62 |
|   2008 |   16 |    4.62 |
|   2003 |    4 |    4.61 |
|   2003 |    5 |    4.61 |
|   2003 |    8 |    4.61 |
|   2004 |   16 |    4.59 |
|   2007 |   10 |    4.57 |
|   2008 |   12 |    4.56 |
