mysql> SELECT COUNT(*) as count, home_score, away_score FROM pl_games WHERE week != 0 AND season < 2008 GROUP BY home_score, away_score ORDER BY count DESC;
+-------+------------+------------+
| count | home_score | away_score |
+-------+------------+------------+
|    12 |         20 |         17 | 
|    12 |         13 |         10 | 
|    11 |         24 |         17 | 
|    10 |         27 |         24 | 
|    10 |         20 |         13 | 
|     8 |         16 |         13 | 
|     8 |         21 |         14 | 
|     8 |         20 |         23 | 
|     7 |         23 |         13 | 
|     7 |         10 |         13 | 
|     7 |         10 |         17 | 
|     7 |         31 |         28 | 
|     7 |         24 |         21 | 
|     6 |         17 |         24 | 
|     6 |         17 |         14 | 
|     6 |         27 |         20 | 
|     6 |         20 |          7 | 
|     6 |         24 |         27 | 
|     6 |         34 |         31 | 
|     6 |         13 |         31 | 
|     6 |         10 |         24 | 
|     6 |         17 |         20 | 
|     6 |         31 |         34 | 
|     5 |         21 |         24 | 
|     5 |         20 |         27 | 
|     5 |         23 |         20 | 
|     5 |         31 |         24 | 
|     5 |         17 |         13 | 
|     5 |         27 |         10 | 
|     5 |         20 |         10 | 
|     5 |          7 |         31 | 
|     5 |         24 |         23 | 
|     5 |         17 |         23 | 
|     5 |         24 |         10 | 
|     5 |         14 |         17 | 
|     5 |         13 |          7 | 
|     5 |         20 |         24 | 
|     4 |         23 |         21 | 
|     4 |         14 |         24 | 
|     4 |         20 |          3 | 
|     4 |          6 |         17 | 
|     4 |         22 |         16 | 
|     4 |         31 |         14 | 
|     4 |         19 |         13 | 
|     4 |         34 |         17 | 
|     4 |         13 |         27 | 
|     4 |         24 |         14 | 
|     4 |         20 |         26 | 
|     4 |         17 |         31 | 
|     4 |         13 |         16 | 
|     4 |         16 |         23 | 
|     4 |         27 |         34 | 
|     4 |         23 |          3 | 
|     4 |         20 |         14 | 
|     4 |         22 |         19 | 
|     4 |         34 |         20 | 
|     4 |         17 |         10 | 
|     4 |         28 |         31 | 
|     4 |         27 |         21 | 
|     4 |         10 |         31 | 
|     4 |          7 |         17 | 
|     4 |         38 |          7 | 
|     3 |         10 |         16 | 
|     3 |         16 |         19 | 
|     3 |         35 |          7 | 
|     3 |         24 |          7 | 
|     3 |          0 |         27 | 
|     3 |         31 |         13 | 
|     3 |         31 |         21 | 
|     3 |         40 |          7 | 
|     3 |         10 |         38 | 
|     3 |         27 |         13 | 
|     3 |         38 |         17 | 
|     3 |          7 |         14 | 
|     3 |         16 |         17 | 
|     3 |         41 |         20 | 
|     3 |         28 |         34 | 
|     3 |          6 |         13 | 
|     3 |         23 |         24 | 
|     3 |         23 |         16 | 
|     3 |         30 |         20 | 
|     3 |         31 |          7 | 
|     3 |         14 |         31 | 
|     3 |         20 |         37 | 
|     3 |         34 |          7 | 
|     3 |         14 |         19 | 
|     3 |          3 |         13 | 
|     3 |         17 |          6 | 
|     3 |         38 |         31 | 
|     3 |          7 |         23 | 
|     3 |         20 |          6 | 
|     3 |         45 |         17 | 
|     3 |         34 |         24 | 
|     3 |         13 |         34 | 
|     3 |         24 |          3 | 
|     3 |         13 |         19 | 
|     3 |         18 |         21 | 
|     3 |         27 |         22 | 
|     3 |         21 |          0 | 
|     3 |         13 |         20 | 
|     3 |         27 |          7 | 
|     3 |         27 |          0 | 
|     3 |         35 |         10 | 
|     3 |         30 |         27 | 
|     3 |         10 |         27 | 
|     3 |         14 |         23 | 
|     3 |         24 |         20 | 
|     2 |         28 |         17 | 
|     2 |         38 |         24 | 
|     2 |         21 |         26 | 
|     2 |          9 |          6 | 
|     2 |         16 |          0 | 
|     2 |         21 |         23 | 
|     2 |         22 |          3 | 
|     2 |          7 |         20 | 
|     2 |         12 |          0 | 
|     2 |         27 |         35 | 
|     2 |          7 |         27 | 
|     2 |         34 |         21 | 
|     2 |         23 |         17 | 
|     2 |         27 |         42 | 
|     2 |          7 |         41 | 
|     2 |         21 |          7 | 
|     2 |         26 |         27 | 
|     2 |         34 |         10 | 
|     2 |         41 |          0 | 
|     2 |         42 |         28 | 
|     2 |         37 |          6 | 
|     2 |         27 |         17 | 
|     2 |         10 |         14 | 
|     2 |         41 |         10 | 
|     2 |         27 |         28 | 
|     2 |         21 |         32 | 
|     2 |         31 |          3 | 
|     2 |         19 |          3 | 
|     2 |         24 |         25 | 
|     2 |         44 |         41 | 
|     2 |         37 |         14 | 
|     2 |         19 |          7 | 
|     2 |          9 |          3 | 
|     2 |         35 |         17 | 
|     2 |         23 |         10 | 
|     2 |         35 |         28 | 
|     2 |         20 |         31 | 
|     2 |         21 |         19 | 
|     2 |         14 |         22 | 
|     2 |         27 |         16 | 
|     2 |         17 |         30 | 
|     2 |         37 |          7 | 
|     2 |         13 |         35 | 
|     2 |         27 |         30 | 
|     2 |         10 |         23 | 
|     2 |         28 |         14 | 
|     2 |          7 |         21 | 
|     2 |         19 |         21 | 
|     2 |         23 |         38 | 
|     2 |         13 |         17 | 
|     2 |         19 |         10 | 
|     2 |         31 |         38 | 
|     2 |         28 |         23 | 
|     2 |         34 |         13 | 
|     2 |         24 |         16 | 
|     2 |         34 |          0 | 
|     2 |         13 |          3 | 
|     2 |         25 |         20 | 
|     2 |         33 |         13 | 
|     2 |         28 |         21 | 
|     2 |         20 |         12 | 
|     2 |         33 |         14 | 
|     2 |         28 |         20 | 
|     2 |         21 |         18 | 
|     2 |         26 |          3 | 
|     2 |         22 |         14 | 
|     2 |         31 |         17 | 
|     2 |         13 |         28 | 
|     2 |         19 |         14 | 
|     2 |         21 |         38 | 
|     2 |         13 |         23 | 
|     2 |         37 |         27 | 
|     2 |         44 |          6 | 
|     2 |         14 |         10 | 
|     2 |         20 |         16 | 
|     2 |         45 |         35 | 
|     2 |         27 |         29 | 
|     2 |         28 |         26 | 
|     2 |         45 |          7 | 
|     2 |         16 |         21 | 
|     2 |          0 |         21 | 
|     2 |         22 |         36 | 
|     2 |         24 |         30 | 
|     2 |         17 |         28 | 
|     2 |         27 |          6 | 
|     2 |         25 |         28 | 
|     2 |         24 |         19 | 
|     2 |         34 |          3 | 
|     2 |         10 |         26 | 
|     2 |          6 |          9 | 
|     2 |         14 |         21 | 
|     2 |         28 |          6 | 
|     2 |         10 |         20 | 
|     2 |         28 |         30 | 
|     2 |         27 |         48 | 
|     2 |         10 |          6 | 
|     2 |         31 |         10 | 
|     2 |         14 |         15 | 
|     2 |         16 |          3 | 
|     2 |         12 |          7 | 
|     2 |         28 |         10 | 
|     2 |         30 |         14 | 
|     2 |         30 |         10 | 
|     2 |         17 |          7 | 
|     2 |         14 |          3 | 
|     2 |         35 |         38 | 
|     2 |         10 |         21 | 
|     2 |         23 |         27 | 
|     2 |         27 |          3 | 
|     2 |         31 |          0 | 
|     2 |         30 |         23 | 
|     2 |         30 |         33 | 
|     2 |         17 |          9 | 
|     2 |          6 |         10 | 
|     2 |         24 |         28 | 
|     2 |         20 |         28 | 
|     2 |          0 |         35 | 
|     2 |         35 |         14 | 
|     2 |         34 |         27 | 
|     2 |         41 |         38 | 
|     2 |         10 |         12 | 
|     2 |         20 |         19 | 
|     2 |         14 |         13 | 
|     2 |         37 |         17 | 
|     2 |         28 |         16 | 
|     2 |         13 |         30 | 
|     2 |         17 |         38 | 
|     2 |         38 |         14 | 
|     1 |          9 |         20 | 
|     1 |         42 |         21 | 
|     1 |         37 |          3 | 
|     1 |          8 |         22 | 
|     1 |         16 |         10 | 
|     1 |         56 |         10 | 
|     1 |          6 |         28 | 
|     1 |         28 |         49 | 
|     1 |         24 |         41 | 
|     1 |         40 |         24 | 
|     1 |          9 |         41 | 
|     1 |         33 |         25 | 
|     1 |          9 |         12 | 
|     1 |         47 |         17 | 
|     1 |         13 |         40 | 
|     1 |         26 |         11 | 
|     1 |         31 |          9 | 
|     1 |          0 |         17 | 
|     1 |         21 |         55 | 
|     1 |         31 |         30 | 
|     1 |         35 |          6 | 
|     1 |         14 |          6 | 
|     1 |         33 |         30 | 
|     1 |         17 |         45 | 
|     1 |          9 |         23 | 
|     1 |          6 |         20 | 
|     1 |          9 |          7 | 
|     1 |         17 |          3 | 
|     1 |         22 |         29 | 
|     1 |         25 |         17 | 
|     1 |         24 |         34 | 
|     1 |         49 |         11 | 
|     1 |         41 |         31 | 
|     1 |          0 |         38 | 
|     1 |         39 |         43 | 
|     1 |         42 |         10 | 
|     1 |          0 |         10 | 
|     1 |          0 |         30 | 
|     1 |         28 |         15 | 
|     1 |         16 |         37 | 
|     1 |         21 |         31 | 
|     1 |         32 |         25 | 
|     1 |         41 |         24 | 
|     1 |         20 |         22 | 
|     1 |         33 |         20 | 
|     1 |         12 |         15 | 
|     1 |         10 |         56 | 
|     1 |         34 |         16 | 
|     1 |         36 |         10 | 
|     1 |         23 |         12 | 
|     1 |         26 |         31 | 
|     1 |          6 |         16 | 
|     1 |         48 |         20 | 
|     1 |         33 |         15 | 
|     1 |         58 |         48 | 
|     1 |         17 |         16 | 
|     1 |         13 |         37 | 
|     1 |         16 |         31 | 
|     1 |         13 |         38 | 
|     1 |         12 |         10 | 
|     1 |         26 |         39 | 
|     1 |         26 |         13 | 
|     1 |         51 |         45 | 
|     1 |         10 |         19 | 
|     1 |         17 |         37 | 
|     1 |         45 |         31 | 
|     1 |         19 |         17 | 
|     1 |          0 |         20 | 
|     1 |         14 |         34 | 
|     1 |         17 |         19 | 
|     1 |         15 |         10 | 
|     1 |         19 |         30 | 
|     1 |         28 |          7 | 
|     1 |         20 |         38 | 
|     1 |          7 |          9 | 
|     1 |         24 |         13 | 
|     1 |         38 |         49 | 
|     1 |         23 |         26 | 
|     1 |         31 |         26 | 
|     1 |         36 |         30 | 
|     1 |         26 |         16 | 
|     1 |         35 |         13 | 
|     1 |         23 |         22 | 
|     1 |          6 |         31 | 
|     1 |         22 |         33 | 
|     1 |         26 |          6 | 
|     1 |         30 |         17 | 
|     1 |         20 |          9 | 
|     1 |         20 |         44 | 
|     1 |         50 |         14 | 
|     1 |         49 |         14 | 
|     1 |         14 |         28 | 
|     1 |          6 |         27 | 
|     1 |          9 |          0 | 
|     1 |         26 |         17 | 
|     1 |          3 |         41 | 
|     1 |         48 |         19 | 
|     1 |         32 |         35 | 
|     1 |         16 |         26 | 
|     1 |         28 |         25 | 
|     1 |         41 |         34 | 
|     1 |         17 |         35 | 
|     1 |         38 |         30 | 
|     1 |         10 |          7 | 
|     1 |         36 |         14 | 
|     1 |         21 |         34 | 
|     1 |         17 |         29 | 
|     1 |          9 |         19 | 
|     1 |         18 |         10 | 
|     1 |         28 |         22 | 
|     1 |         45 |         27 | 
|     1 |         27 |         37 | 
|     1 |         28 |         41 | 
|     1 |         16 |          7 | 
|     1 |         42 |         24 | 
|     1 |         14 |         42 | 
|     1 |          5 |         24 | 
|     1 |         21 |         41 | 
|     1 |         38 |         10 | 
|     1 |         10 |         34 | 
|     1 |         33 |         22 | 
|     1 |         27 |         25 | 
|     1 |         32 |         29 | 
|     1 |         17 |         41 | 
|     1 |         33 |         21 | 
|     1 |         21 |         33 | 
|     1 |          9 |         17 | 
|     1 |         22 |         35 | 
|     1 |         41 |          7 | 
|     1 |         29 |          6 | 
|     1 |         42 |         14 | 
|     1 |        43 |         24 | 
|     1 |         17 |         42 | 
|     1 |         19 |         48 | 
|     1 |         24 |         37 | 
|     1 |          9 |         38 | 
|     1 |         20 |         34 | 
|     1 |         14 |         16 | 
|     1 |         34 |         15 | 
|     1 |         17 |         33 | 
